StoneAge Beijing-Waei 2.5 official download-page probe — R1
SCOPE|grounded-official-stoneage-prefix|2002-01-01..2002-03-15|Wayback-CDX+bounded-HTML-replay|no-binary-payload
TARGET|prefix=http://www.waei.com.cn/zhuanqu/stoneage/|from=20020101|to=20020315|max_replays=300
CDX|status=200|bytes=278146|sha256=22f92af90ed3d9b448a43f46fce16acd3b47a7c97a0a69d4f9c7ac22bdcf0edd|rows=1846|html_rows=509|final=https://web.archive.org/cdx/search/cdx?url=http%3A%2F%2Fwww.waei.com.cn%2Fzhuanqu%2Fstoneage%2F&matchType=prefix&output=json&fl=timestamp%2Coriginal%2Cstatuscode%2Cmimetype%2Cdigest%2Clength&from=20020101&to=20020315&filter=statuscode%3A200&collapse=urlkey&limit=5000
URL_HINT|score=1|timestamp=20020203194708|original=http://www.waei.com.cn:80/zhuanqu/stoneage/active/mammoth/img/ser1xueer/1.GIF|mimetype=image/gif|digest=LZQXCSCYL4UAWWSGCNGGAS2XSJPGEAVH|length=149962
URL_HINT|score=1|timestamp=20020203194732|original=http://www.waei.com.cn:80/zhuanqu/stoneage/active/mammoth/img/ser1xueer/1_s.GIF|mimetype=image/gif|digest=2U3LOV6YCKQCCDHV7QOHN6MV46WG2TDW|length=79071
URL_HINT|score=1|timestamp=20020203190710|original=http://www.waei.com.cn:80/zhuanqu/stoneage/active/mammoth/img/ser1xueer/2.GIF|mimetype=image/gif|digest=LP3RSCQRJM3PDTYAC7AIEBFC2LZTRKZ6|length=162499
URL_HINT|score=1|timestamp=20020203190912|original=http://www.waei.com.cn:80/zhuanqu/stoneage/active/mammoth/img/ser1xueer/2_S.GIF|mimetype=image/gif|digest=BCIBYZYFDUJB3T46PQC53QJKD7G5I77C|length=81666
URL_HINT|score=1|timestamp=20020203162233|original=http://www.waei.com.cn:80/zhuanqu/stoneage/active/mammoth/img/ser7lonely/1.GIF|mimetype=image/gif|digest=VUKKNMICWLUJKE3H5GGPMVEG2CQKYBFZ|length=139140
URL_HINT|score=1|timestamp=20020203194335|original=http://www.waei.com.cn:80/zhuanqu/stoneage/active/mammoth/img/yuelianggai/dhj.GIF|mimetype=image/gif|digest=5ORTCD56YKZRXV5VYX3UGNUHEZT5ADCB|length=92279
URL_HINT|score=1|timestamp=20020203192838|original=http://www.waei.com.cn:80/zhuanqu/stoneage/active/mammoth/img/yuelianggai/dhj_s.GIF|mimetype=image/gif|digest=QWJB6JBNNO6EXYXMP5EZXYH5XA5SOYH2|length=54710
URL_HINT|score=1|timestamp=20020203192335|original=http://www.waei.com.cn:80/zhuanqu/stoneage/active/mammoth/img/yuelianggai/dwg.GIF|mimetype=image/gif|digest=CW2MHNAB2PHPW3K5I5QYFX4MMAQB2ZJS|length=90508
URL_HINT|score=1|timestamp=20020203194020|original=http://www.waei.com.cn:80/zhuanqu/stoneage/active/mammoth/img/yuelianggai/dwg_s.GIF|mimetype=image/gif|digest=X3IWP4S5YT3M2XIH67R56AALSG44YXVW|length=60271
URL_HINT|score=1|timestamp=20020203193727|original=http://www.waei.com.cn:80/zhuanqu/stoneage/active/mammoth/img/yuelianggai/hjwg.GIF|mimetype=image/gif|digest=Y5LERFNQBVJXCXYD7D2BEZEP6D4DJJRX|length=94053
URL_HINT|score=1|timestamp=20020203194257|original=http://www.waei.com.cn:80/zhuanqu/stoneage/active/mammoth/img/yuelianggai/hjwg_s.GIF|mimetype=image/gif|digest=EAAGUO6BPVZ7ZTL43LSZVT5JUVY25GEG|length=65356
URL_HINT|score=1|timestamp=20020203194655|original=http://www.waei.com.cn:80/zhuanqu/stoneage/active/mammoth/img/yuelianggai/jldzd_s.GIF|mimetype=image/gif|digest=XEMBPFT4MJEYY6HDP2FY5CK44NYOLBKJ|length=58594
URL_HINT|score=1|timestamp=20020203190959|original=http://www.waei.com.cn:80/zhuanqu/stoneage/active/mammoth/img/yuelianggai/kldxz.GIF|mimetype=image/gif|digest=4BDYLQ5FNO6HY6U5TLXB7N4L42FNUOB6|length=78931
